,accuracy,precision,recall,f1,kappa,set,modelo,categoria
0,0.7494089834515366,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.707682478420737,test,Regresion logistica,0
1,0.7914691943127962,0.8382978723404255,0.9120370370370371,0.8736141906873613,0.7566806991105506,train,Regresion logistica,0
0,0.7494089834515366,0.6607142857142857,0.5967741935483871,0.6271186440677966,0.707682478420737,test,Regresion logistica,1
1,0.7914691943127962,0.6788617886178862,0.7422222222222222,0.7091295116772824,0.7566806991105506,train,Regresion logistica,1
0,0.7494089834515366,0.8545454545454545,0.6025641025641025,0.7067669172932329,0.707682478420737,test,Regresion logistica,2
1,0.7914691943127962,0.8434782608695652,0.7106227106227107,0.7713717693836978,0.7566806991105506,train,Regresion logistica,2
0,0.7494089834515366,0.782608695652174,0.9310344827586207,0.8503937007874016,0.707682478420737,test,Regresion logistica,3
1,0.7914691943127962,0.8490566037735849,0.9414225941422594,0.8928571428571429,0.7566806991105506,train,Regresion logistica,3
0,0.7494089834515366,0.9402985074626866,1.0,0.9692307692307692,0.707682478420737,test,Regresion logistica,4
1,0.7914691943127962,0.9622641509433962,0.9770114942528736,0.9695817490494297,0.7566806991105506,train,Regresion logistica,4
0,0.7494089834515366,0.6,0.6428571428571429,0.6206896551724138,0.707682478420737,test,Regresion logistica,5
1,0.7914691943127962,0.6990740740740741,0.6452991452991453,0.6711111111111111,0.7566806991105506,train,Regresion logistica,5
0,0.7494089834515366,0.52,0.52,0.52,0.707682478420737,test,Regresion logistica,6
1,0.7914691943127962,0.6363636363636364,0.6125,0.6242038216560509,0.7566806991105506,train,Regresion logistica,6
